id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
JwQSGzKV,WHEN the temperature satisfies a condition with a threshold,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
K2nG97Qg,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
K38CGem7,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
K5YUSB2i,WHEN a human is detected by Beseye camera,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
K7B6KrVm,WHEN every single day at a specific time set by you,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
KCBr4hnQ,WHEN time-of-day peak rates start or end,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
KCFuK5y2,WHEN a door is opened,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KDRQKUsq,WHEN every time your ecobee thermostat senses that the indoor humidity is less than a specific value you supply,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KFaPBjpw,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
KGd8U9ar,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
KLFTZDiH,WHEN every time the specified lock is unlocked,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KNz7MgrK,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
KPGfX4H9,WHEN every time you press the button,", THEN enable/disable holiday mode on all your daikin ac units",Air/Climate,It will be executed within 1 minute.
KRhbZavS,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
KRqfnxFU,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KSQedEsH,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KTKvaXUJ,WHEN every time you press the button,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
KTXdzmcv,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
KUEbxRCB,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
KW9w4dfk,WHEN every time you enter an area you specify,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
KcuxeEhK,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KdHVvW5J,WHEN a specified tag senses that its ambient temperature exceeds an upper threshold configured at temperature options screen inside the WirelessTag app,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
KgtBGkZ5,WHEN whenever you press the selected button on your Wink Relay,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
KrkcQnxs,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
KwSGcmrg,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
KzZdhjWs,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
KzeWxQt7,WHEN every time a tag detects vibrations,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
L4qnsMkY,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
L6cwmvyE,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
LAZEKrSB,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LB6KtVLH,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LCFXa8nT,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
LCrxBYG7,WHEN every time you exit an area you specify,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
LDjF3w2c,WHEN your device detects the humidity is above the threshold you specified,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
LE92cTyC,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
LLKstha2,WHEN the humidity measured from your Awair device dropped below the threshold you specified for more than 30 seconds,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LLuVGzsd,WHEN every time your SkyBell HD detects motions,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
LM2mYqxt,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
LMrRBnuA,WHEN every time a new reminder is completed in a list you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LRfd58ZY,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turns off the selected group of wemo lights",Light,If the group is already off it will remain off.
LRgvtXe6,WHEN every time the home you specify is set to Away,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
LTLj5cSR,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
LagNFGDC,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
LbQi6D2W,WHEN every time somebody rings your Ring Doorbell,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
LcPL3Bfm,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LdiWgezG,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
LeFUNhy8,WHEN the temperature satisfies a condition with a threshold,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
Lq4BuinY,WHEN within 15 minutes of the sunset in your location,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
LvGmiZ4z,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
LvVjEpFr,WHEN Aura detects motion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
Lx6nmyMr,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
